t,mode,err_norm,tau_norm,q1,q2,q3,q4,q5,q6,q7,qd1,qd2,qd3,qd4,qd5,qd6,qd7,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.0,pd_gc,0.34865936960739874,30.79704527069373,3.9691229518651985e-05,-0.6995316755497971,1.8621647397453158e-05,-2.1992294458865103,-2.3021627108664793e-06,1.5991331757225988,0.7996162399920554,0.019845614759325992,0.2341622251014315,0.00931082369872658,0.3852770567450568,-0.0011510813554332397,-0.4334121387005939,-0.19188000397228222,16.0,-18.18819175748791,9.913309156892522,15.73617614807137,3.63220732116954,-0.0634632076936037,1.5968037424994141
0.002,pd_gc,0.34914932155261735,31.13611934893723,9.453124659295335e-05,-0.6986208248579581,5.559846797240835e-05,-2.197736227841385,-1.2993498530528063e-06,1.5974991176431788,0.7988836811937075,0.02742000853715068,0.4554253459195249,0.018488410287477598,0.7466090225627992,0.0005014064289068365,-0.8170290397100428,-0.3662793991739966,15.718986095007944,-21.51495562151668,9.800273643385475,11.834253706818844,3.6391495386706216,2.1244504798011787,2.37201715252068
0.004,pd_gc,0.34991936784005134,32.45439019842677,0.0001565398230108721,-0.6972915324399379,0.0001057417917373849,-2.1955644764866364,2.962022062705046e-06,1.5951878131598143,0.7978350150264581,0.03100428820895938,0.6646462090100629,0.02507166188248828,1.0858756773741844,0.002130685957878926,-1.1556522416821904,-0.5243330836246393,15.608557380752456,-24.707060938631862,9.687532770232494,8.125762787040777,3.629146676303776,4.081861928673525,3.0842997535523886
0.006,pd_gc,0.3509971713556812,34.463645714762166,0.00022226366330170162,-0.69556643223787,0.00016435922628142122,-2.192755034812095,9.814674716075106e-06,1.5922806485028231,0.7965003804893603,0.03286192014541476,0.8625501010339638,0.029308717272018163,1.4047208372707942,0.0034263263266850305,-1.453582328495556,-0.6673172685488784,15.5534167792337,-27.77410934146822,9.605059942845903,4.594782453536315,3.6191661127156483,5.830627649989784,3.7375350549555213
0.008,pd_gc,0.3524121589137735,36.93339149595129,0.0002898094417171024,-0.6934668748556889,0.0002279939708437936,-2.1893458018626024,1.870146622013928e-05,1.5888512270122115,0.7949074367732875,0.033772889207700364,1.0497786910905396,0.03181737228118619,1.7046164747463723,0.004443395752032086,-1.7147107453058708,-0.7964718580364285,15.522152024900059,-30.72400002930646,9.550276107912769,1.2275281449134425,3.6110943257226236,7.390304057210066,4.336223095859873
0.01,pd_gc,0.35419398580677375,39.690231269812934,0.00035800171718603885,-0.6910130554791506,0.0002942459207424012,-2.1853720241692782,2.9214922266611356e-05,1.5849660942163595,0.7930815158189645,0.03409613773446824,1.2269096882691872,0.03312597494930379,1.9868888466620471,0.0052567280232360385,-1.9425663979259624,-0.9129604771615074,15.503994795754826,-33.563584091362365,9.51605888825415,-1.9882655281738373,3.6046203756495414,8.778587518874774,4.8847684809163665
0.012,pd_gc,0.3563711882699546,42.611084863312136,0.0004260763463561274,-0.6882241184648125,0.00036148863849556787,-2.1808665513410666,4.1056652691368144e-05,1.580685392027748,0.79104579005858,0.03403731458504426,1.3944685071690472,0.03362135887658333,2.252736414105883,0.0059208652123783935,-2.1403510943058106,-1.0178628801922358,15.494013934342561,-36.29892746600711,9.496267306569775,-5.063585691414918,3.5993093573990578,10.0115303820231,5.387317421108767
0.014,pd_gc,0.35897008463044167,45.61169983234963,0.0004935320860811195,-0.685118245123079,0.0004286370536878508,-2.1758600621060697,5.400301731448003e-05,1.5760634512951173,0.7888214383800018,0.03372786986249605,1.5529366708667345,0.033574207596141485,2.503244617498492,0.006473182311555943,-2.3109703663152854,-1.1121758392890955,15.48939148810089,-38.935464375833995,9.486391321498562,-8.00830260033069,3.5948441887404834,11.103702772252898,5.8477239951923785
0.016,pd_gc,0.3620136870503637,48.6186556780327,0.0005600448661407377,-0.6817126496139997,0.0004949819711886874,-2.170380961628799,6.78738444912054e-05,1.5711473536187495,0.7864277801958275,0.03325639002980905,1.7027977545396384,0.03317245875041828,2.7395502386353128,0.0069354135883626915,-2.4580488381838714,-1.1968290920872018,15.488327255038566,-41.47810667696282,9.483267772599449,-10.831301711075305,3.591008078522222,12.0,6.269550370739988
0.018000000000000002,pd_gc,0.36551917407268725,51.42433975133025,0.0006254295407104793,-0.6780228188018493,0.0005601034698360147,-2.164452412222161,8.243837759756442e-05,1.5659568696117119,0.7838821690880843,0.03269233728487079,1.844915406075186,0.03256074932366361,2.9642747033189107,0.007282266553179508,-2.5952420035187553,-1.2728055538716296,15.489606950291416,-43.931884410369975,9.484694064941282,-13.542135894881202,3.5876764169292032,12.0,6.65612795595668
